document_id,clean_text,sentiment
14,use leav theatr see highli anticip movi specif sequel rev saw would declar movi best seri prequel star war film rate one best good originalsfor time opinion balanc wellround take reason steer away mindset dark knight though opinion solidifi alreadi seen warner bro screen last night dark knight abli stand without batman begin two half hour runtim definit epic movi one never run ga delight addit experi healthi amount imax footag significantli add feel person gruesom tour gotham citi christian bale play well round batman bruce wayn qualiti none don cowl pull still rememb bale british sinc speak spot american accent bale particular slur lisp serv quit well charmingli bruce wayn threateningli batman counter late heath ledger play scari creepi joker found imposs chill half time saw screen realli separ brand joker jack nicholson portray true unpredict obviou good guy think like joker realli take toll sure isnt easi exactli one take he woven harebrain plot around multipl hostag explos disappear parlor trick initi uneasi charact harvey dent would handl mind realli one faith portray could found batman anim seri earli well tommi lee jone could handl batman forev certainli though still highlight movi aaron eckhart abli assum mantl deliv perform world easili par batman anim seri known cape aveng stand good gotham citi polic forc counterpart cant repres good jurisdict proceduresand rule save one hope weve seen prelud dark knight upcom legendari battl worst gotham citi dark undersid dark knight get solid star,positive
15,honor watch tdk screen complet blown away isnt best batman movi ever made one best movi ever made everyth film excel one piec annoy bale marvel bruce waynebatman ledger made joker icon movi villain perform belong top hopkin lecter joker final portrait properli film earn place big boy movi villandom true joker everi batman fan know love fear ledger deserv everi movi award known man brilliant display nolan made alway rememb movi crownjewel portfolio perfect direct perfect stori perfect balanc action drama everyth perfect even hate batman love film dont someth beez wrongz youz,positive
16,film masterpiec imdb seem assign doubt good especi tension perform heath ledger never saw amaz far long plot hole larg enough drive school bu,negative
17,level enjoy top tier start finish dark knight edg seat enjoy everi minut likelihood recommend highest recommend havent seen watch masterpiec downsid like put futur batman featur shame qualiti act excel bale gold standard batman gruff tough aloof posit fuel tragedi dark past ledger nightmar villain twist evil unapologet irrat complet void moral compass qualiti write perfect one movi wish could memori edit order watch qualiti intang excel visual point dark gloomi gotham perfect set hero oper succeed shadow good music sound put viewer mood anticip next intens scene,neutral
18,best movi ever heath ledger work phenomen word,positive
19,movi work art finest sequel ever made dont think see anoth movi like long time heath ledger joker best movi characht ever seen far aveng endgam great dark knight much better best batman ever best joker ever best dc movi ever best superhero movi ever ando best movi ever,negative
20,want best movi great stori great act thrill twist watch joker come back give dark knight thank heath ledger except perform,positive
21,confid direct dark brood pack impress action sequenc complex stori dark knight includ careerdefin turn heath ledger well oscar worthi perform tdk remain best batman movi comic book movi ever creat,negative
22,weve subject enorm amount hype market dark knight weve seen joker scaveng hunt one largest viral campaign advertis histori culmin actual releas movi everyth that said pretti much spot first time rememb summer blockbust film far surpass hype much action movi act make great piec work punch explos stuntwork great dialog work actor moment bale batman definit batman see everyth charact final film martial art skill cun great tactic think forens applic technolog geniu advanc improv lusciou fox inventionstechnolog breakthrough intimid person even littl swashbuckl heath ye get credit perform joker also recogn jonathan chri nolan write treatment charact fact ledger make joker menac nolan given charact great manifesto drive action joker stanc chao order anarchi moral averag modern human make charact interest psycholog nolan draft complex charact perfect perform couldv pull someth like that difficult role that ledger perform great isnt action movi film explor literari theme hero villain well order anarchi ye listen dialog,positive
23,couldnt believ dark knight could live hype that perhap biggest surpris secret believ stun matur intellig script make best superhero movi ever made wasnt enough heath ledger newest tragic modern icon present u preview someth well never see fearless extraordinari actor capabl fill human even grotesqu villain perform master class fortun christian bale batman almost support charact bale good someth around mouth stop great dark knight visual stun power move el could anyon want,positive
24,dark ye complex ambiti christoph nolan cowrit jonathan nolan deserv stand ovat dont usual go loud movi fill mindless gore violenc dark knight certainli loud violent mindless depth soul even joker extraordinari creation heath ledger deepli human natur petul christian bale make ego alter ego fascin complex film superhero part geniu movi batman screen time realli lead attent captiv heath ledger determin inspir breathtak atmospher envelop gotham well u aplomb christoph nolan director mind blow secret believ obviou respect audienc he done elev popular genr shakesperean proport bravo,positive
25,im gonna start say love movieit one favorit time honestli cant think much wrong movi littl long batman infam voic everyth el top notch actingstoryatmosphereand action scene amaz havent seen movi see right went expect much came blown away cant imagin movi much better ill wait dark knight rise releas see anyth better stand best movi ive ever seen,positive
26,someon el act joker would give movi star major peopl end love villain hero rare happend movi rest peac heath ledger,negative
27,pleasur watch movi imax theatr london advertis slogan biggest screen uk one greatest movi experi life first movi imax theatr recommend anyon chanc watch even entir movi shot imax theatr still abl blow someon away great visual combin great stori superb act movi could also call joker even heath ledger great perform still batman movi dark knight clear enough even without batman titl simpli love movi heard complaint friend seem might problem depict charact love heath ledger would want see even crazier plot thread especi done charact aaron eckhart although see might problem fan comic book still stand vote best batman movi ever hope nolan bale make next one,neutral
28,realli think better film godfath good bad ugli seven samurai pulp fiction ok joker stand perform rest good realli best film time cant see happen year sink middl pile want examin good evil dualiti man watch king new york better film im say worth see plea best film time may best batman film weve seen frankli enjoy iron man action good stori reason good support act whole experi doesnt move like shawshank redempt wasnt seismic shift filmmak like pulp fiction godfath direct better sergio leon film hasnt hype much come,neutral
29,christoph nolan second bundl joy dark knight exceed expect success reboot batman franchis took alreadi establish expand amp gave deeper darker brood stori grip suspens like catch guard sever time throughout christian bale delv deeper batman sworn fight evil injustic though also quit reluct uncertain crusad ever end clean inner turmoil fractur soul due murder belov parent help trust butler alfr play superbl michael cane ground give moral support keep check real star show heath ledger batman deadli enemi joker honestli tell good jack nicholson batman child play compar joker sadist psychot downright scarier psycholog disturb previou incarn clown princ crime ledger give justic along origin cast come fresh face aaron eckhart maggi gyllenha must say though like kati holm gyllenha give much better perform far cri damselindistress stereotyp though there littl thank that common film bale gyllenhal much better chemistri time around holm even better fight sequenc vastli improv featur brutal bone crush combat begin addit new technolog batman dispos also worth mention screenwrit jonathan nolan give film ad frost alreadi delici cake simpli put dark knight total bad as begin action great plot deeper engross applaud christoph nolan christian bale especi heath ledger sadli pas away earlier year aboard believ mr nolan talent second instal although may feel bit melancholi ledger death final note say sincer heart rememb heath ledger honor mind heart perform human father daughter matilda ledger may issu best wish famili friend daughter year come rememb honor role past role incred individu talent actor rest peac heath ledger,negative
30,saw dark knight three year ago th grade blown away beauti done camera work act stori took surpris day one best movi ever seen see movi impact intens way dark knight movi worth see due fact worker put much time effort one film want wast money put garbag christoph nolan thank wast time instead earn time film day still anxiou see movi home recommend anyon like action movi gener anyon doesnt dont wast time write bad review film,positive
31,use leav theatr see highli anticip movi specif sequel rev saw would declar movi best seri prequel star war film rate one best good originalsfor time opinion balanc wellround take reason steer away mindset dark knight though opinion solidifi alreadi seen warner bro screen last night dark knight abli stand without batman begin two half hour runtim definit epic movi one never run ga delight addit experi healthi amount imax footag significantli add feel person gruesom tour gotham citi christian bale play well round batman bruce wayn qualiti none don cowl pull still rememb bale british sinc speak spot american accent bale particular slur lisp serv quit well charmingli bruce wayn threateningli batman counter late heath ledger play scari creepi joker found imposs chill half time saw screen realli separ brand joker jack nicholson portray true unpredict obviou good guy think like joker realli take toll sure isnt easi exactli one take he woven harebrain plot around multipl hostag explos disappear parlor trick initi uneasi charact harvey dent would handl mind realli one faith portray could found batman anim seri earli well tommi lee jone could handl batman forev certainli though still highlight movi aaron eckhart abli assum mantl deliv perform world easili par batman anim seri known cape aveng stand good gotham citi polic forc counterpart cant repres good jurisdict proceduresand rule save one hope weve seen prelud dark knight upcom legendari battl worst gotham citi dark undersid dark knight get solid star,positive
32,honor watch tdk screen complet blown away isnt best batman movi ever made one best movi ever made everyth film excel one piec annoy bale marvel bruce waynebatman ledger made joker icon movi villain perform belong top hopkin lecter joker final portrait properli film earn place big boy movi villandom true joker everi batman fan know love fear ledger deserv everi movi award known man brilliant display nolan made alway rememb movi crownjewel portfolio perfect direct perfect stori perfect balanc action drama everyth perfect even hate batman love film dont someth beez wrongz youz,positive
33,film masterpiec imdb seem assign doubt good especi tension perform heath ledger never saw amaz far long plot hole larg enough drive school bu,negative
34,level enjoy top tier start finish dark knight edg seat enjoy everi minut likelihood recommend highest recommend havent seen watch masterpiec downsid like put futur batman featur shame qualiti act excel bale gold standard batman gruff tough aloof posit fuel tragedi dark past ledger nightmar villain twist evil unapologet irrat complet void moral compass qualiti write perfect one movi wish could memori edit order watch qualiti intang excel visual point dark gloomi gotham perfect set hero oper succeed shadow good music sound put viewer mood anticip next intens scene,neutral
35,dark knight best movi ever seen life,negative
36,well one anticip movi year far excel far best batman film ever made cours one memor action film long everyon wait see well heath ledger perform joker film definit deserv oscar honor charact dark creepi sent chill back compar heath film like thing hate even brokeback mountain prove man could actual act doesnt matter charact could film storylin mani twist reward stori develop constantli scene make wonder what next excel craft flow well toward conclus film scene batman joker bike v truck peopl thought end kept go awesom stori kept get darker darker guess that call dark knight well relat batman cast great christoph nolan play batman good perform heath ledger play extrem well maggi annoy time still deserv prais michael cain morgan freeman minor role satisfi audienc aaron eckhart start minor role slowli progress becom evil quit surpris entertain watch great direct made movi enjoy ad action time made film feel power light done well especi show harvey two face face mani mood display great explos made entertain made feel great final best action come long time movi deserv rate credit behalf great young actor heath ledger life may rip perform made film right recommend film action fan especi batman fan even heath ledger fan go ahead right see film great,negative
37,best superhero movi ever made like watch superhero movi definit watch howev must say movi much superhero movi dont like superhero movi want watch good dramaact movi one best,negative
38,actor script sceneri make one best movi ever seen bestplay charact joker amaz that imagin film portray ultraintellig person psychopath brain honestli surpris someon known nich product would play good role one import charact batman seri unfortun probabl never see joker well heath ledger unknown circumst die sad news howev back movi main charact batman play christian bale also show charact well therefor rate movi,negative
39,went cinema see indiana jone rememb see trailer dark knight dark full explos look realli cool huge fan batman two burton film couldnt wait see never saw cinema rememb friend tell amaz one best film ever fast forward final got see film differ stori two half hour pretenti bore disappoint film ever seen let start plot basic joker atleast that call start kill peopl caus mayhem mean batman stop sound simpl film spoil mani plot line noth actual plot dont last long enough interest could easili cut make shorter easier follow plot hero villain batman play christian bale come complet top gruff voic sound like smoke entir packet cigarett cross countri marathon he nowher near dark intimid keaton batman isnt engag bruce either reason film consid great heath ledger joker ledger main drive point film interest charact play role convincingli ill admit best part film even though could call anyth el instead joker would that biggest problem film doesnt feel like batman film batman alway surreal franchis mean walk line real world fantasi world gotham citi look like regular citi joker comic death contrapt batmobil look like tank batman uniqu gadget problem nolan doesnt understand man dress bat fight crime cant taken complet serious burton made surreal world batman batman return creat perfect environ film nolan think crime drama batman joker could psycho makeup pace also flaw sometim film move quickli u digest what go time goe slow lose interest reason peopl love heath ledger amaz perform unfortun pas away film releas even doesnt fit bill batman movi sum dark knight go histori overr film ever made,neutral
40,batman take crime lord help lieuten jim gordon district attorney harvey dent howev even bigger evil rise terror gotham maggi gyllenha improv kati holm rachel daw aaron eckhart add good perform harvey dent end heath ledger movi overpow everybodi earli death may immort opinion isnt inflat presenc electr help charact ridicul crazi motiv noth power money mundan want chao much fascin heath ledger make movi great surpass seri reboot batman begin,positive
41,thought get clever comic book movi instead got profound chill introspect good v evil allegor refer god v satan good v evil socialpolit true life realiti made cri credit roll power brilliant fil experi enthral mesmer director writer someth suppos batman movi ive seen least time still get feel big budget blockbust filmmak absolut best age top movi alltim,positive
42,say made christoph nolan good amaz action amaz charact amaz director amaz cinematographi dark knight everyth like everyon said heath ledger perform lifetim movi absolut great overal rate,neutral
43,movi feel privileg get watch honour one,negative
44,amaz film closest thing ever get perfect superhero movi,negative
45,say front never seen movi base comic book realli like except anim one quasianim like _sin city_ would think graphic novel film would lot common end theyr trade differ kind imag basic anoth batman movi silli premis superrich hero battl shrink remnant gotham citi villain seemingli unlimit resourc personnel explos agre heath ledger perform amaz guy play gay cowboy movi real piti die cant help think still aliv wonder would next great talent movi would averag rate write lot fine actor morgan freeman michael cain cri loud basic wast pretend take charact serious like heist sequenc begin includ joker first line bit bu realli droll get hope lot peopl blown survivor emot angst dark brood comicbook angst,negative
46,incred beati christian bale heath ledger gari oldman michael cain morgan freeman aaron eckhart maggi gyllenha eric robert cillian murphi amaz cast thank writer jonathan nolan cristoph nolan screenplay cristoph nolan david goyer stori bob kane charact thank director cristoph nolan,positive
47,fantast word use describ well movi made movi everyth dark humor action dark horrifi scene amaz movi give credit amaz actor heath ledger amaz job movi absolut nail joker definit best joker ive ever seen point fantast overal think movi definit oscar worthi without doubt best batman movi ever made,neutral
48,first need point gener hate action filmsthey arent genr gener would go see howev teenag daughter saw film demand immedi go imaxequip theater see soon possibl agre think would threaten forc threaten leav home reluctantli agre im point front youll understand didnt give movi found minor problem plot probabl bia howev give action film unusualit terrif film almost earn far action goe nearli nonstop eyepop stunt nearli film could see plu truli recommend imax theater nearbi show go regular theater sound sight action amaz huge screenand hindsight probabl taken hear aid film begani didnt need mani make film mustse though admit bit tire whilefor old fogi like mayb bit much actionthough teen action fan ador charact excellentwith possibl except batman fine wish hed stop mumbl deep voic made lot less interest perhap less likabl villain villain joker great sadist like harvey dent well especi cool makeup job late film oddli perhap favorit charact guy bit charactertommi tini lister play one scariest prison ever seen film bit part ferri boat realli except overal film better superhero film ever seen much better earlier batman film seriou problem endingwhat gordon batman agre made sen wasnt necessari still amaz eyecandi complain wonder ride mustse movi action superhero fan howev violent film intend adultsi would take kid even teen filmit dark intens today far highest rate film imdb number believ film better godfath casablanca gone wind angri men let bit perspect hereit good film cult member need get grip,negative
49,there villain full colour take stage doubl cross trickster seek enrag mafioso kind broker one joker hand torment turmoil tortur hell rage triumvir gotham form cordon batman harvey dent lieuten gordon theyr seduc perform limit law conform playmak relish destruct long weak found hostag taken compound ultimatum present promin profil dement hero run cover goe underground,neutral
50,best movi ever heath ledger work phenomen word,positive
51,movi work art finest sequel ever made dont think see anoth movi like long time heath ledger joker best movi characht ever seen far aveng endgam great dark knight much better best batman ever best joker ever best dc movi ever best superhero movi ever ando best movi ever,positive
52,want best movi great stori great act thrill twist watch joker come back give dark knight thank heath ledger except perform,negative
53,confid direct dark brood pack impress action sequenc complex stori dark knight includ careerdefin turn heath ledger well oscar worthi perform tdk remain best batman movi comic book movi ever creat,positive
54,weve subject enorm amount hype market dark knight weve seen joker scaveng hunt one largest viral campaign advertis histori culmin actual releas movi everyth that said pretti much spot first time rememb summer blockbust film far surpass hype much action movi act make great piec work punch explos stuntwork great dialog work actor moment bale batman definit batman see everyth charact final film martial art skill cun great tactic think forens applic technolog geniu advanc improv lusciou fox inventionstechnolog breakthrough intimid person even littl swashbuckl heath ye get credit perform joker also recogn jonathan chri nolan write treatment charact fact ledger make joker menac nolan given charact great manifesto drive action joker stanc chao order anarchi moral averag modern human make charact interest psycholog nolan draft complex charact perfect perform couldv pull someth like that difficult role that ledger perform great isnt action movi film explor literari theme hero villain well order anarchi ye listen dialog,neutral
55,couldnt believ dark knight could live hype that perhap biggest surpris secret believ stun matur intellig script make best superhero movi ever made wasnt enough heath ledger newest tragic modern icon present u preview someth well never see fearless extraordinari actor capabl fill human even grotesqu villain perform master class fortun christian bale batman almost support charact bale good someth around mouth stop great dark knight visual stun power move el could anyon want,negative
56,dark ye complex ambiti christoph nolan cowrit jonathan nolan deserv stand ovat dont usual go loud movi fill mindless gore violenc dark knight certainli loud violent mindless depth soul even joker extraordinari creation heath ledger deepli human natur petul christian bale make ego alter ego fascin complex film superhero part geniu movi batman screen time realli lead attent captiv heath ledger determin inspir breathtak atmospher envelop gotham well u aplomb christoph nolan director mind blow secret believ obviou respect audienc he done elev popular genr shakesperean proport bravo,neutral
57,im gonna start say love movieit one favorit time honestli cant think much wrong movi littl long batman infam voic everyth el top notch actingstoryatmosphereand action scene amaz havent seen movi see right went expect much came blown away cant imagin movi much better ill wait dark knight rise releas see anyth better stand best movi ive ever seen,neutral
58,someon el act joker would give movi star major peopl end love villain hero rare happend movi rest peac heath ledger,positive
59,pleasur watch movi imax theatr london advertis slogan biggest screen uk one greatest movi experi life first movi imax theatr recommend anyon chanc watch even entir movi shot imax theatr still abl blow someon away great visual combin great stori superb act movi could also call joker even heath ledger great perform still batman movi dark knight clear enough even without batman titl simpli love movi heard complaint friend seem might problem depict charact love heath ledger would want see even crazier plot thread especi done charact aaron eckhart although see might problem fan comic book still stand vote best batman movi ever hope nolan bale make next one,negative
60,realli think better film godfath good bad ugli seven samurai pulp fiction ok joker stand perform rest good realli best film time cant see happen year sink middl pile want examin good evil dualiti man watch king new york better film im say worth see plea best film time may best batman film weve seen frankli enjoy iron man action good stori reason good support act whole experi doesnt move like shawshank redempt wasnt seismic shift filmmak like pulp fiction godfath direct better sergio leon film hasnt hype much come,negative
61,christoph nolan second bundl joy dark knight exceed expect success reboot batman franchis took alreadi establish expand amp gave deeper darker brood stori grip suspens like catch guard sever time throughout christian bale delv deeper batman sworn fight evil injustic though also quit reluct uncertain crusad ever end clean inner turmoil fractur soul due murder belov parent help trust butler alfr play superbl michael cane ground give moral support keep check real star show heath ledger batman deadli enemi joker honestli tell good jack nicholson batman child play compar joker sadist psychot downright scarier psycholog disturb previou incarn clown princ crime ledger give justic along origin cast come fresh face aaron eckhart maggi gyllenha must say though like kati holm gyllenha give much better perform far cri damselindistress stereotyp though there littl thank that common film bale gyllenhal much better chemistri time around holm even better fight sequenc vastli improv featur brutal bone crush combat begin addit new technolog batman dispos also worth mention screenwrit jonathan nolan give film ad frost alreadi delici cake simpli put dark knight total bad as begin action great plot deeper engross applaud christoph nolan christian bale especi heath ledger sadli pas away earlier year aboard believ mr nolan talent second instal although may feel bit melancholi ledger death final note say sincer heart rememb heath ledger honor mind heart perform human father daughter matilda ledger may issu best wish famili friend daughter year come rememb honor role past role incred individu talent actor rest peac heath ledger,negative
62,saw dark knight three year ago th grade blown away beauti done camera work act stori took surpris day one best movi ever seen see movi impact intens way dark knight movi worth see due fact worker put much time effort one film want wast money put garbag christoph nolan thank wast time instead earn time film day still anxiou see movi home recommend anyon like action movi gener anyon doesnt dont wast time write bad review film,neutral
63,use leav theatr see highli anticip movi specif sequel rev saw would declar movi best seri prequel star war film rate one best good originalsfor time opinion balanc wellround take reason steer away mindset dark knight though opinion solidifi alreadi seen warner bro screen last night dark knight abli stand without batman begin two half hour runtim definit epic movi one never run ga delight addit experi healthi amount imax footag significantli add feel person gruesom tour gotham citi christian bale play well round batman bruce wayn qualiti none don cowl pull still rememb bale british sinc speak spot american accent bale particular slur lisp serv quit well charmingli bruce wayn threateningli batman counter late heath ledger play scari creepi joker found imposs chill half time saw screen realli separ brand joker jack nicholson portray true unpredict obviou good guy think like joker realli take toll sure isnt easi exactli one take he woven harebrain plot around multipl hostag explos disappear parlor trick initi uneasi charact harvey dent would handl mind realli one faith portray could found batman anim seri earli well tommi lee jone could handl batman forev certainli though still highlight movi aaron eckhart abli assum mantl deliv perform world easili par batman anim seri known cape aveng stand good gotham citi polic forc counterpart cant repres good jurisdict proceduresand rule save one hope weve seen prelud dark knight upcom legendari battl worst gotham citi dark undersid dark knight get solid star,negative
64,honor watch tdk screen complet blown away isnt best batman movi ever made one best movi ever made everyth film excel one piec annoy bale marvel bruce waynebatman ledger made joker icon movi villain perform belong top hopkin lecter joker final portrait properli film earn place big boy movi villandom true joker everi batman fan know love fear ledger deserv everi movi award known man brilliant display nolan made alway rememb movi crownjewel portfolio perfect direct perfect stori perfect balanc action drama everyth perfect even hate batman love film dont someth beez wrongz youz,negative
65,film masterpiec imdb seem assign doubt good especi tension perform heath ledger never saw amaz far long plot hole larg enough drive school bu,positive
66,level enjoy top tier start finish dark knight edg seat enjoy everi minut likelihood recommend highest recommend havent seen watch masterpiec downsid like put futur batman featur shame qualiti act excel bale gold standard batman gruff tough aloof posit fuel tragedi dark past ledger nightmar villain twist evil unapologet irrat complet void moral compass qualiti write perfect one movi wish could memori edit order watch qualiti intang excel visual point dark gloomi gotham perfect set hero oper succeed shadow good music sound put viewer mood anticip next intens scene,positive
67,dark knight best movi ever seen life,negative
68,well one anticip movi year far excel far best batman film ever made cours one memor action film long everyon wait see well heath ledger perform joker film definit deserv oscar honor charact dark creepi sent chill back compar heath film like thing hate even brokeback mountain prove man could actual act doesnt matter charact could film storylin mani twist reward stori develop constantli scene make wonder what next excel craft flow well toward conclus film scene batman joker bike v truck peopl thought end kept go awesom stori kept get darker darker guess that call dark knight well relat batman cast great christoph nolan play batman good perform heath ledger play extrem well maggi annoy time still deserv prais michael cain morgan freeman minor role satisfi audienc aaron eckhart start minor role slowli progress becom evil quit surpris entertain watch great direct made movi enjoy ad action time made film feel power light done well especi show harvey two face face mani mood display great explos made entertain made feel great final best action come long time movi deserv rate credit behalf great young actor heath ledger life may rip perform made film right recommend film action fan especi batman fan even heath ledger fan go ahead right see film great,negative
69,best superhero movi ever made like watch superhero movi definit watch howev must say movi much superhero movi dont like superhero movi want watch good dramaact movi one best,neutral
70,actor script sceneri make one best movi ever seen bestplay charact joker amaz that imagin film portray ultraintellig person psychopath brain honestli surpris someon known nich product would play good role one import charact batman seri unfortun probabl never see joker well heath ledger unknown circumst die sad news howev back movi main charact batman play christian bale also show charact well therefor rate movi,negative
71,went cinema see indiana jone rememb see trailer dark knight dark full explos look realli cool huge fan batman two burton film couldnt wait see never saw cinema rememb friend tell amaz one best film ever fast forward final got see film differ stori two half hour pretenti bore disappoint film ever seen let start plot basic joker atleast that call start kill peopl caus mayhem mean batman stop sound simpl film spoil mani plot line noth actual plot dont last long enough interest could easili cut make shorter easier follow plot hero villain batman play christian bale come complet top gruff voic sound like smoke entir packet cigarett cross countri marathon he nowher near dark intimid keaton batman isnt engag bruce either reason film consid great heath ledger joker ledger main drive point film interest charact play role convincingli ill admit best part film even though could call anyth el instead joker would that biggest problem film doesnt feel like batman film batman alway surreal franchis mean walk line real world fantasi world gotham citi look like regular citi joker comic death contrapt batmobil look like tank batman uniqu gadget problem nolan doesnt understand man dress bat fight crime cant taken complet serious burton made surreal world batman batman return creat perfect environ film nolan think crime drama batman joker could psycho makeup pace also flaw sometim film move quickli u digest what go time goe slow lose interest reason peopl love heath ledger amaz perform unfortun pas away film releas even doesnt fit bill batman movi sum dark knight go histori overr film ever made,negative
72,batman take crime lord help lieuten jim gordon district attorney harvey dent howev even bigger evil rise terror gotham maggi gyllenha improv kati holm rachel daw aaron eckhart add good perform harvey dent end heath ledger movi overpow everybodi earli death may immort opinion isnt inflat presenc electr help charact ridicul crazi motiv noth power money mundan want chao much fascin heath ledger make movi great surpass seri reboot batman begin,positive
73,thought get clever comic book movi instead got profound chill introspect good v evil allegor refer god v satan good v evil socialpolit true life realiti made cri credit roll power brilliant fil experi enthral mesmer director writer someth suppos batman movi ive seen least time still get feel big budget blockbust filmmak absolut best age top movi alltim,positive
74,say made christoph nolan good amaz action amaz charact amaz director amaz cinematographi dark knight everyth like everyon said heath ledger perform lifetim movi absolut great overal rate,positive
75,movi feel privileg get watch honour one,neutral
76,amaz film closest thing ever get perfect superhero movi,neutral
77,say front never seen movi base comic book realli like except anim one quasianim like _sin city_ would think graphic novel film would lot common end theyr trade differ kind imag basic anoth batman movi silli premis superrich hero battl shrink remnant gotham citi villain seemingli unlimit resourc personnel explos agre heath ledger perform amaz guy play gay cowboy movi real piti die cant help think still aliv wonder would next great talent movi would averag rate write lot fine actor morgan freeman michael cain cri loud basic wast pretend take charact serious like heist sequenc begin includ joker first line bit bu realli droll get hope lot peopl blown survivor emot angst dark brood comicbook angst,negative
78,incred beati christian bale heath ledger gari oldman michael cain morgan freeman aaron eckhart maggi gyllenha eric robert cillian murphi amaz cast thank writer jonathan nolan cristoph nolan screenplay cristoph nolan david goyer stori bob kane charact thank director cristoph nolan,negative
79,fantast word use describ well movi made movi everyth dark humor action dark horrifi scene amaz movi give credit amaz actor heath ledger amaz job movi absolut nail joker definit best joker ive ever seen point fantast overal think movi definit oscar worthi without doubt best batman movi ever made,neutral
