review,cleaned_review
"Do you REALLY think this was a better film than the Godfather? The Good, the Bad and the Ugly? The Seven Samurai, Pulp Fiction? OK, the Joker was a stand out performance, and the rest were good, but was this really the best film of all time? Can't see how that happened, and in 30 years this will sink to the middle of the pile where it should be.

You want an examination of good and evil and the duality of man? Watch the King of New York. It's a better film than this. I'm not saying it's not worth seeing, but please, this is NOT the best film of all time.....

This may be the best Batman film we've seen, but frankly I enjoyed Iron Man more. The action was good, the story reasonable, and there were some good supporting acts, but the whole experience doesn't move you like the Shawshank redemption, it wasn't a seismic shift in film-making like Pulp Fiction or the Godfather. The direction - better than Sergio Leone? The film hasn't been hyped that much, so where is this coming from?",realli think better film godfath good bad ugli seven samurai pulp fiction ok joker stand perform rest good realli best film time cant see happen year sink middl pile want examin good evil dualiti man watch king new york better film im say worth see plea best film time may best batman film weve seen frankli enjoy iron man action good stori reason good support act whole experi doesnt move like shawshank redempt wasnt seismic shift filmmak like pulp fiction godfath direct better sergio leon film hasnt hype much come
"Christopher Nolan's second bundle of joy ""The Dark Knight"" EXCEEDED all of my expectations!!! With the success of 2005's reboot of the Batman franchise, they took what was already established and expanded it, amped it up, and gave a deeper, darker and brooding story that is more gripping and the suspense is likely to catch you of guard several times throughout. Christian Bale delves more deeper into Batman, sworn to fight evil and injustice, though also quite reluctant and uncertain if his crusade can ever end and cleanse his inner turmoil from his fractured soul due to the murder of his beloved parents. But with the help of his trusted butler/ally Alfred (played superbly by Michael Cane) grounds him, gives him moral support, and keeps him in check. But the real star of the show is Heath Ledger as Batman's most deadly enemy, The Joker. I can HONESTLY tell you that: as good as Jack Nicholson was in Batman'89 he is CHILD'S PLAY compared to this Joker. He is sadistic, psychotic, and downright SCARIER and PSYCHOLOGICALLY disturbing than the previous incarnation of The Clown Prince of Crime and Ledger gives it his all to do him justice. Along with the original cast comes some fresh faces such as Aaron Eckhart, Maggie Gyllenhaal and more. I must say though I liked Katie Holmes, Gyllenhaal gives a much better performance and is a far cry from the ""damsel-in-distress"" stereotype (though there's a little of it, THANKFULLY) that's common in films. Bale and Gyllenhall have MUCH better chemistry this time around more so than Holmes. Even better, the fight sequences are vastly improved and feature more brutal and bone crushing combat than ""Begins"" in addition to new technology at Batman's disposal. Also worth mentioning is screenwriter Jonathan Nolan, who gives the film an added frosting to an already delicious cake. Simply put, The Dark Knight is totally more bad ass than ""Begins."" The action is great, and the plot is more deeper and engrossing. I applaud Christopher Nolan, Christian Bale, and especially Heath Ledger (who sadly passed away earlier this year) and all those aboard for believing in Mr. Nolan's talents for this second installment. Although some may feel a bit of melancholy over Ledger's death, but as a final note I will say this sincerely from my heart: Remember Heath Ledger and honor him in your minds and hearts not only for his performances, but as a human being and father to his daughter Matilda Ledger. May we issue him best wishes for his family and friends and his daughter for years to come. Remember . . . Honor him not only for this role and past roles, but as an incredible individual and talented actor. Rest in peace. Heath Ledger: 4/4/1979-1/22/2008.",christoph nolan second bundl joy dark knight exceed expect success reboot batman franchis took alreadi establish expand amp gave deeper darker brood stori grip suspens like catch guard sever time throughout christian bale delv deeper batman sworn fight evil injustic though also quit reluct uncertain crusad ever end clean inner turmoil fractur soul due murder belov parent help trust butler alfr play superbl michael cane ground give moral support keep check real star show heath ledger batman deadli enemi joker honestli tell good jack nicholson batman child play compar joker sadist psychot downright scarier psycholog disturb previou incarn clown princ crime ledger give justic along origin cast come fresh face aaron eckhart maggi gyllenha must say though like kati holm gyllenha give much better perform far cri damselindistress stereotyp though there littl thank that common film bale gyllenhal much better chemistri time around holm even better fight sequenc vastli improv featur brutal bone crush combat begin addit new technolog batman dispos also worth mention screenwrit jonathan nolan give film ad frost alreadi delici cake simpli put dark knight total bad as begin action great plot deeper engross applaud christoph nolan christian bale especi heath ledger sadli pas away earlier year aboard believ mr nolan talent second instal although may feel bit melancholi ledger death final note say sincer heart rememb heath ledger honor mind heart perform human father daughter matilda ledger may issu best wish famili friend daughter year come rememb honor role past role incred individu talent actor rest peac heath ledger
"I saw the dark knight about three years ago when I was in the 8th grade. And I was blown away at how beautifully done it was, the camera work, the acting, the story, it all took me by surprise. It is to this day one of the best movies I have ever seen or will see. No other movie can impact you in such an intense way than The Dark Knight. It is a movie worth seeing due to the fact that the workers put so much time and effort into this one film and they did not want to waste money putting up garbage. So Christopher Nolan, thank you for not wasting our time, instead earning our time with this film. To this day I still am anxious to see the movie at home. I recommend it to anyone who likes action movies in general. To anyone who doesn't, don't waste your time write bad reviews about this film.",saw dark knight three year ago th grade blown away beauti done camera work act stori took surpris day one best movi ever seen see movi impact intens way dark knight movi worth see due fact worker put much time effort one film want wast money put garbag christoph nolan thank wast time instead earn time film day still anxiou see movi home recommend anyon like action movi gener anyon doesnt dont wast time write bad review film
"I used to leave a theatre after seeing a highly anticipated movie, specifically a sequel, and be so revved up about what I saw that I would declare that movie to be the best of a series. After each of the prequel ""Star Wars"" films, I rated that one the best, as good as any of the originals...for a time, until my opinion balanced out and I had a more well-rounded take. For that reason, I steer away from that mindset, and did for ""Dark Knight"".

Though my opinion is solidifying already after having seen a Warner Bros. screening last night, ""Dark Knight"" ably stands on its own with or without ""Batman Begins"". At a two and a half hour runtime, it's definitely an epic of a movie, but one that never runs out of gas. A delightful addition to this experience was a healthy amount of IMAX footage, which significantly adds to the feel of being on a personal, and gruesome, tour of Gotham City.

Christian Bale plays such a well rounded Batman and Bruce Wayne, qualities that none of those who have donned the cowl before him have pulled off. I still have to remember that Bale is British since he speaks with such a spot on American accent. Bale has a particular slurring lisp that serves him quite well, charmingly for Bruce Wayne and threateningly for Batman.

Countering him is the late Heath Ledger, who plays such a scary and creepy Joker that I found it impossible to NOT have chills half the time I saw him on screen. What really separates this brand of Joker from Jack Nicholson's portrayal is true unpredictability. It's obvious that, to be a good guy and think like the Joker, it really takes a toll, and it sure isn't easy. How exactly does one take him down when he's woven his harebrained plot around multiple hostages, explosives, or disappearing parlor tricks?

Initially, I was uneasy about how the character of Harvey Dent would be handled. In my mind, there was really only one faithful portrayal of him, and that could be found in the ""Batman"" animated series of the early 90s. As well as Tommy Lee Jones COULD have handled him in ""Batman Forever"", he certainly did not, though it still was a highlight of that movie. Aaron Eckhart ably assumes the mantle here, delivering a performance out of this world, easily on par with the Batman animated series.

Be it known, this caped avenger stands for the good of Gotham City that the police force and its counterparts can't represent, the good that has no jurisdiction, no procedures...and no rules, save for one. I can only hope that we've seen just the prelude to the Dark Knight's upcoming legendary battles with the worst of Gotham City's dark underside.

""The Dark Knight"" gets a solid 10 of 10 stars.",use leav theatr see highli anticip movi specif sequel rev saw would declar movi best seri prequel star war film rate one best good originalsfor time opinion balanc wellround take reason steer away mindset dark knight though opinion solidifi alreadi seen warner bro screen last night dark knight abli stand without batman begin two half hour runtim definit epic movi one never run ga delight addit experi healthi amount imax footag significantli add feel person gruesom tour gotham citi christian bale play well round batman bruce wayn qualiti none don cowl pull still rememb bale british sinc speak spot american accent bale particular slur lisp serv quit well charmingli bruce wayn threateningli batman counter late heath ledger play scari creepi joker found imposs chill half time saw screen realli separ brand joker jack nicholson portray true unpredict obviou good guy think like joker realli take toll sure isnt easi exactli one take he woven harebrain plot around multipl hostag explos disappear parlor trick initi uneasi charact harvey dent would handl mind realli one faith portray could found batman anim seri earli well tommi lee jone could handl batman forev certainli though still highlight movi aaron eckhart abli assum mantl deliv perform world easili par batman anim seri known cape aveng stand good gotham citi polic forc counterpart cant repres good jurisdict proceduresand rule save one hope weve seen prelud dark knight upcom legendari battl worst gotham citi dark undersid dark knight get solid star
"I had the honor of watching TDK during a screening and was completely blown away! This isn't just the best Batman movie ever made, this is one of the best movie ever made. Everything in this film is excellent, not one piece of annoyance.

Bale marvels as Bruce Wayne/Batman, Ledger has made The Joker in to an iconic movie villain. His performance belongs there at the top with Hopkins Lecter. The Joker has finally been portrait properly on film, he has earned his place between the big boys in movie villandom. This is the true Joker every Batman fan knows, loves and fears. Ledger deserves any and every movie award known to man for this brilliant display.

Nolan has made his ""I will always be remembered"" movie, this is the crownjewel in his portfolio. Perfect directing, perfect story, perfect balance between action and drama, everything is perfect.

Even if you hate Batman, you will love this film. If you don't, then something beez wrongz with youz!",honor watch tdk screen complet blown away isnt best batman movi ever made one best movi ever made everyth film excel one piec annoy bale marvel bruce waynebatman ledger made joker icon movi villain perform belong top hopkin lecter joker final portrait properli film earn place big boy movi villandom true joker everi batman fan know love fear ledger deserv everi movi award known man brilliant display nolan made alway rememb movi crownjewel portfolio perfect direct perfect stori perfect balanc action drama everyth perfect even hate batman love film dont someth beez wrongz youz
"This film is not the masterpiece that IMDb seems to assign it as. No doubt it's good, especially the tension and the performance of Heath Ledger, but I never saw it as amazing. It's far too long and there are plot holes large enough to drive the school bus through.",film masterpiec imdb seem assign doubt good especi tension perform heath ledger never saw amaz far long plot hole larg enough drive school bu
"*level of enjoyment* #10 top tier - from start to finish The Dark Knight has you on the edge of your seat, enjoying every minute

*likelihood to recommend* #10 highest recommendation - if you haven't seen it, watch it, it is a masterpiece, the downside? likely to put all future Batman features to shame

*quality of acting* #9 excellent - Bale is the gold standard Batman, gruff, tough, aloof, positively fueled by the tragedies of his dark past. Ledger is the nightmare villain, twisted, evil, unapologetic, irrational, completely void of a moral compass

*quality of writing* #10 perfection - one of those movies you wish you could have a memory edit in order to watch again and again

*quality of intangibles* #8 excellent - visual is on point, dark gloomy Gotham, perfect setting for a hero to operate and succeed from the shadows very good - music and sound puts viewers in the mood and anticipating the next intense scene",level enjoy top tier start finish dark knight edg seat enjoy everi minut likelihood recommend highest recommend havent seen watch masterpiec downsid like put futur batman featur shame qualiti act excel bale gold standard batman gruff tough aloof posit fuel tragedi dark past ledger nightmar villain twist evil unapologet irrat complet void moral compass qualiti write perfect one movi wish could memori edit order watch qualiti intang excel visual point dark gloomi gotham perfect set hero oper succeed shadow good music sound put viewer mood anticip next intens scene
Best movie ever. Heath ledger's work is phenomenal no words......,best movi ever heath ledger work phenomen word
"This movie is a work of art. The finest sequel ever made. I don't think we will see another movie like this for a long time. Heath Ledger's Joker is the best movie charachter I have ever seen by far. Avengers Endgame is great, but The Dark Knight is much better. The best Batman ever! The best Joker ever! The best DC movie ever! The best superhero movie ever! Ando for me, the best movie ever!",movi work art finest sequel ever made dont think see anoth movi like long time heath ledger joker best movi characht ever seen far aveng endgam great dark knight much better best batman ever best joker ever best dc movi ever best superhero movi ever ando best movi ever
"It is just what you want for the best movie. Great story great acting, thrilling twist. Just watched Joker in 2019, I just has to come back and give dark knight a 10. And thanks to Heath Ledger for the exceptional performs.",want best movi great stori great act thrill twist watch joker come back give dark knight thank heath ledger except perform
"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created.",confid direct dark brood pack impress action sequenc complex stori dark knight includ careerdefin turn heath ledger well oscar worthi perform tdk remain best batman movi comic book movi ever creat
"We've been subjected to enormous amounts of hype and marketing for the Dark Knight. We've seen Joker scavenger hunts and one of the largest viral campaigns in advertising history and it culminates with the actual release of the movie.

Everything that's been said is pretty much spot on. This is the first time I can remember where a summer blockbuster film far surpasses the hype.

For as much action as there is in this movie, it's the acting that makes it a great piece of work. Between all the punches, explosions and stunt-work is some great dialog work. All the actors have their moments.

Bale's Batman is the definitive Batman because we see everything in this character finally on film. Martial arts skills, cunning, great tactical thinking, forensic application, technological genius to advance or improve Luscious Fox's inventions/technological breakthroughs, intimidating personality, and even a little swashbuckling.

As for Heath, yes he gets credit for his performance as the Joker. But you have to also recognize Jonathan and Chris Nolan for the writing and treatment of the character. It's not just the fact that Ledger makes the Joker so menacing, but the Nolans have given the character this great manifesto that drives its actions. The Joker's stance on chaos, order, anarchy, the morality of the average modern human being make the character so interesting psychologically. The Nolans drafted a complex character and only a perfect performance could've pulled something like this off. That's how difficult of a role this was, and that's why Ledger's performance is so great.

This isn't an action movie. It's a film that explores literary themes of the hero and villain, as well as order and anarchy. Yes, listen to the dialog because it's all in there.",weve subject enorm amount hype market dark knight weve seen joker scaveng hunt one largest viral campaign advertis histori culmin actual releas movi everyth that said pretti much spot first time rememb summer blockbust film far surpass hype much action movi act make great piec work punch explos stuntwork great dialog work actor moment bale batman definit batman see everyth charact final film martial art skill cun great tactic think forens applic technolog geniu advanc improv lusciou fox inventionstechnolog breakthrough intimid person even littl swashbuckl heath ye get credit perform joker also recogn jonathan chri nolan write treatment charact fact ledger make joker menac nolan given charact great manifesto drive action joker stanc chao order anarchi moral averag modern human make charact interest psycholog nolan draft complex charact perfect perform couldv pull someth like that difficult role that ledger perform great isnt action movi film explor literari theme hero villain well order anarchi ye listen dialog
"I couldn't believe ""The Dark knight"" could live up to the hype. That's perhaps the biggest surprise. The secret, I believe, is a stunning, mature, intelligent script. That makes it the best superhero movie ever made. As if that wasn't enough, Heath Ledger. He, the newest of the tragic modern icons present us with a preview of something we'll never see. A fearless, extraordinary actor capable to fill up with humanity even the most grotesque of villains. His performance is a master class. Fortunately, Christian Bale's Batman is almost a supporting character. Bale is good but there is something around his mouth that stops him from being great. ""The Dark Knight"" is visually stunning, powerful and moving. What else could anyone want.",couldnt believ dark knight could live hype that perhap biggest surpris secret believ stun matur intellig script make best superhero movi ever made wasnt enough heath ledger newest tragic modern icon present u preview someth well never see fearless extraordinari actor capabl fill human even grotesqu villain perform master class fortun christian bale batman almost support charact bale good someth around mouth stop great dark knight visual stun power move el could anyon want
"Dark, yes, complex, ambitious. Christopher Nolan and his co-writer Jonathan Nolan deserve a standing ovation. I don't usually go for loud movies filled with mindless gore and violence. ""The Dark Knight"" is certainly loud and violent but it's not mindless. It has depth and soul. Even the Joker, in an extraordinary creation by Heath Ledger, is deeply human. The natural petulance of Christian Bale makes his ego and alter ego the most fascinating and complex of all film superheroes. Part of the genius of this movie is that Batman himself, in screen time, is not really the lead. My attention was captivated by Heath Ledger and he determines and inspires the breathtaking atmosphere that envelopes Gotham as well as us. The aplomb of Christopher Nolan as a director is mind blowing and his secret, I believe, is his obvious respect for his audience. What he's done is to elevate a popular genre into Shakesperean proportions. Bravo!",dark ye complex ambiti christoph nolan cowrit jonathan nolan deserv stand ovat dont usual go loud movi fill mindless gore violenc dark knight certainli loud violent mindless depth soul even joker extraordinari creation heath ledger deepli human natur petul christian bale make ego alter ego fascin complex film superhero part geniu movi batman screen time realli lead attent captiv heath ledger determin inspir breathtak atmospher envelop gotham well u aplomb christoph nolan director mind blow secret believ obviou respect audienc he done elev popular genr shakesperean proport bravo
"Im just gonna start off by saying I LOVE this movie.Its one of my favorites of all time. I honestly cant think of too much wrong with this movie other than its a little long and Batmans by now infamous voice. But everything else is top notch. The acting,story,atmosphere,and actions scenes are all amazing. If you haven't seen this movie see it right now! I went into this not expecting to much but I came out blown away, I cant imagine any movie being much better. I'll just have to wait for The Dark Knight Rises to release to see if anything can be better. Until then, this stands as the best movie I've ever seen",im gonna start say love movieit one favorit time honestli cant think much wrong movi littl long batman infam voic everyth el top notch actingstoryatmosphereand action scene amaz havent seen movi see right went expect much came blown away cant imagin movi much better ill wait dark knight rise releas see anyth better stand best movi ive ever seen
"If someone else acted as Joker, I would give the movie 7-8 stars. The majority of people ended up loving the villain more than the hero, and that rarely happends in movies.

Rest in peace Heath Ledger.",someon el act joker would give movi star major peopl end love villain hero rare happend movi rest peac heath ledger
"I had the pleasure to watch this movie in an IMAX theatre in London (it advertises itself, with the slogan ""Biggest screen in the UK""), which was one of the greatest movie experiences I had in my life. And it was my first movie in an IMAX theatre. I can only recommend it for anyone who has the chance to watch it, even if not the entire movie is shot for an IMAX theatre, this still is able to blow someone away! Great visuals combined with a great story and superb acting.

The movie could also have been called ""The Joker"", but even with Heath Ledgers great performance, this still is a Batman movie. And ""The Dark Knight"" is clear enough, even without the Batman in the title. I simply loved the movie, but I heard some complaints from some friends. It seems that some might have a problem with the depiction of the characters (I loved Heath Ledger, but there are a few out there who would have wanted to see him even crazier) or the plot threads (especially what is done with the character of Aaron Eckhart). Although I can see why that might be a problem for fans of the comic books, I still stand by my vote. This is the best Batman movie ever (until hopefully Nolan and Bale make the next one)!",pleasur watch movi imax theatr london advertis slogan biggest screen uk one greatest movi experi life first movi imax theatr recommend anyon chanc watch even entir movi shot imax theatr still abl blow someon away great visual combin great stori superb act movi could also call joker even heath ledger great perform still batman movi dark knight clear enough even without batman titl simpli love movi heard complaint friend seem might problem depict charact love heath ledger would want see even crazier plot thread especi done charact aaron eckhart although see might problem fan comic book still stand vote best batman movi ever hope nolan bale make next one
"Do you REALLY think this was a better film than the Godfather? The Good, the Bad and the Ugly? The Seven Samurai, Pulp Fiction? OK, the Joker was a stand out performance, and the rest were good, but was this really the best film of all time? Can't see how that happened, and in 30 years this will sink to the middle of the pile where it should be.

You want an examination of good and evil and the duality of man? Watch the King of New York. It's a better film than this. I'm not saying it's not worth seeing, but please, this is NOT the best film of all time.....

This may be the best Batman film we've seen, but frankly I enjoyed Iron Man more. The action was good, the story reasonable, and there were some good supporting acts, but the whole experience doesn't move you like the Shawshank redemption, it wasn't a seismic shift in film-making like Pulp Fiction or the Godfather. The direction - better than Sergio Leone? The film hasn't been hyped that much, so where is this coming from?",realli think better film godfath good bad ugli seven samurai pulp fiction ok joker stand perform rest good realli best film time cant see happen year sink middl pile want examin good evil dualiti man watch king new york better film im say worth see plea best film time may best batman film weve seen frankli enjoy iron man action good stori reason good support act whole experi doesnt move like shawshank redempt wasnt seismic shift filmmak like pulp fiction godfath direct better sergio leon film hasnt hype much come
"Christopher Nolan's second bundle of joy ""The Dark Knight"" EXCEEDED all of my expectations!!! With the success of 2005's reboot of the Batman franchise, they took what was already established and expanded it, amped it up, and gave a deeper, darker and brooding story that is more gripping and the suspense is likely to catch you of guard several times throughout. Christian Bale delves more deeper into Batman, sworn to fight evil and injustice, though also quite reluctant and uncertain if his crusade can ever end and cleanse his inner turmoil from his fractured soul due to the murder of his beloved parents. But with the help of his trusted butler/ally Alfred (played superbly by Michael Cane) grounds him, gives him moral support, and keeps him in check. But the real star of the show is Heath Ledger as Batman's most deadly enemy, The Joker. I can HONESTLY tell you that: as good as Jack Nicholson was in Batman'89 he is CHILD'S PLAY compared to this Joker. He is sadistic, psychotic, and downright SCARIER and PSYCHOLOGICALLY disturbing than the previous incarnation of The Clown Prince of Crime and Ledger gives it his all to do him justice. Along with the original cast comes some fresh faces such as Aaron Eckhart, Maggie Gyllenhaal and more. I must say though I liked Katie Holmes, Gyllenhaal gives a much better performance and is a far cry from the ""damsel-in-distress"" stereotype (though there's a little of it, THANKFULLY) that's common in films. Bale and Gyllenhall have MUCH better chemistry this time around more so than Holmes. Even better, the fight sequences are vastly improved and feature more brutal and bone crushing combat than ""Begins"" in addition to new technology at Batman's disposal. Also worth mentioning is screenwriter Jonathan Nolan, who gives the film an added frosting to an already delicious cake. Simply put, The Dark Knight is totally more bad ass than ""Begins."" The action is great, and the plot is more deeper and engrossing. I applaud Christopher Nolan, Christian Bale, and especially Heath Ledger (who sadly passed away earlier this year) and all those aboard for believing in Mr. Nolan's talents for this second installment. Although some may feel a bit of melancholy over Ledger's death, but as a final note I will say this sincerely from my heart: Remember Heath Ledger and honor him in your minds and hearts not only for his performances, but as a human being and father to his daughter Matilda Ledger. May we issue him best wishes for his family and friends and his daughter for years to come. Remember . . . Honor him not only for this role and past roles, but as an incredible individual and talented actor. Rest in peace. Heath Ledger: 4/4/1979-1/22/2008.",christoph nolan second bundl joy dark knight exceed expect success reboot batman franchis took alreadi establish expand amp gave deeper darker brood stori grip suspens like catch guard sever time throughout christian bale delv deeper batman sworn fight evil injustic though also quit reluct uncertain crusad ever end clean inner turmoil fractur soul due murder belov parent help trust butler alfr play superbl michael cane ground give moral support keep check real star show heath ledger batman deadli enemi joker honestli tell good jack nicholson batman child play compar joker sadist psychot downright scarier psycholog disturb previou incarn clown princ crime ledger give justic along origin cast come fresh face aaron eckhart maggi gyllenha must say though like kati holm gyllenha give much better perform far cri damselindistress stereotyp though there littl thank that common film bale gyllenhal much better chemistri time around holm even better fight sequenc vastli improv featur brutal bone crush combat begin addit new technolog batman dispos also worth mention screenwrit jonathan nolan give film ad frost alreadi delici cake simpli put dark knight total bad as begin action great plot deeper engross applaud christoph nolan christian bale especi heath ledger sadli pas away earlier year aboard believ mr nolan talent second instal although may feel bit melancholi ledger death final note say sincer heart rememb heath ledger honor mind heart perform human father daughter matilda ledger may issu best wish famili friend daughter year come rememb honor role past role incred individu talent actor rest peac heath ledger
